epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,4280.24,0.64581,0.46722,1.19938,0.97395,0.98408,0.9936,0.85506,0.58879,0.31184,1.14969,9.31101e-05,9.31101e-05,9.31101e-05
142,4310.5,0.63467,0.45782,1.19304,0.98854,0.97922,0.99409,0.85991,0.57891,0.2994,1.13048,9.03895e-05,9.03895e-05,9.03895e-05
143,4340.77,0.6329,0.46321,1.1955,0.98123,0.97954,0.99433,0.8541,0.59183,0.32018,1.1538,8.77008e-05,8.77008e-05,8.77008e-05
144,4371.03,0.63221,0.45896,1.19149,0.97638,0.98683,0.99381,0.86268,0.57591,0.30468,1.12664,8.50446e-05,8.50446e-05,8.50446e-05
145,4401.23,0.61972,0.45764,1.19017,0.97471,0.96647,0.99044,0.853,0.58893,0.34076,1.15366,8.24217e-05,8.24217e-05,8.24217e-05
146,4431.5,0.62923,0.45873,1.19421,0.97735,0.97855,0.99204,0.85572,0.59146,0.30881,1.1629,7.98326e-05,7.98326e-05,7.98326e-05
147,4461.77,0.62503,0.45636,1.19563,0.96425,0.97479,0.99119,0.85497,0.58588,0.34338,1.14771,7.7278e-05,7.7278e-05,7.7278e-05
148,4492.02,0.60561,0.44548,1.17707,0.96726,0.98611,0.9924,0.8623,0.58195,0.31799,1.13507,7.47586e-05,7.47586e-05,7.47586e-05
149,4522.27,0.62275,0.45732,1.18212,0.98287,0.97097,0.99141,0.8543,0.59637,0.31096,1.15826,7.22749e-05,7.22749e-05,7.22749e-05
150,4552.48,0.61643,0.44536,1.18471,0.96814,0.98301,0.99348,0.84717,0.60382,0.31621,1.16515,6.98276e-05,6.98276e-05,6.98276e-05
151,4582.71,0.62251,0.42801,1.18107,0.95604,0.98575,0.99236,0.85168,0.59137,0.32329,1.14983,6.74172e-05,6.74172e-05,6.74172e-05
152,4612.98,0.62088,0.44323,1.18089,0.98725,0.97816,0.99456,0.86431,0.56853,0.30055,1.12053,6.50445e-05,6.50445e-05,6.50445e-05
153,4643.24,0.60074,0.42831,1.17192,0.96212,0.98576,0.9939,0.85848,0.58263,0.33332,1.1423,6.27098e-05,6.27098e-05,6.27098e-05
154,4673.5,0.61938,0.44091,1.18079,0.98036,0.95527,0.99189,0.85495,0.58492,0.34448,1.14934,6.04139e-05,6.04139e-05,6.04139e-05
155,4703.73,0.58945,0.41442,1.16314,0.98113,0.97387,0.99196,0.85272,0.59149,0.32031,1.15104,5.81573e-05,5.81573e-05,5.81573e-05
156,4733.99,0.6024,0.43001,1.16867,0.98184,0.97961,0.99272,0.85629,0.58917,0.31756,1.15084,5.59406e-05,5.59406e-05,5.59406e-05
157,4764.23,0.6146,0.44334,1.1821,0.97727,0.97891,0.99105,0.8594,0.58066,0.31928,1.14077,5.37642e-05,5.37642e-05,5.37642e-05
158,4794.5,0.60024,0.43274,1.1713,0.97394,0.97214,0.99032,0.8578,0.58806,0.32424,1.15098,5.16288e-05,5.16288e-05,5.16288e-05
